DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.993043,22,-1.667,58.0,14.0,300.0,27.78,53.708,1.0,0.0,0.0,0.183,47.017,8.176,12.202,271.0,0.492,0.0,1012.915
-0.993043,23,-1.667,58.0,14.0,300.0,25.928,51.856,1.0,0.0,0.0,0.262,46.831,8.622,12.44,272.0,0.0,0.0,1013.624
-0.993043,24,-2.778,60.0,14.0,300.0,22.224,46.3,1.0,0.0,0.0,0.268,46.678,8.341,12.202,258.0,0.0,0.0,1014.739
-0.993043,25,-2.778,60.0,14.0,300.0,20.372,38.892,1.0,0.0,0.0,-0.442,48.644,8.975,13.599,265.0,0.0,0.0,1015.544
-0.993043,26,-3.333,62.0,14.0,300.0,18.52,35.188,0.0,0.0,0.0,-1.081,51.475,6.81,10.207,268.0,0.0,0.0,1016.333
-0.993043,27,-3.889,62.0,18.0,300.0,20.372,35.188,0.0,0.0,0.0,-1.677,52.305,5.216,8.275,283.0,0.0,0.0,1017.063
-0.993043,28,-3.889,62.0,22.0,300.0,20.372,35.188,0.0,0.0,0.0,-2.379,54.407,3.966,5.725,290.0,0.0,0.0,1017.688
-0.993043,29,-4.444,65.0,25.0,300.0,20.372,35.188,0.0,0.0,0.0,-2.927,54.695,3.74,5.958,297.0,0.0,0.0,1017.877
-0.993043,30,-4.444,62.0,29.0,300.0,20.372,38.892,0.0,0.0,0.0,-2.979,52.661,5.614,8.537,279.0,0.0,0.0,1018.022
-0.993043,31,-4.444,65.0,33.0,300.0,20.372,40.744,0.0,0.0,0.0,-3.283,53.678,3.502,5.268,301.0,0.0,0.0,1018.089
-0.993043,32,-5.0,68.0,36.0,300.0,20.372,42.596,0.0,0.0,0.0,-3.5,54.559,3.653,5.254,290.0,0.0,0.0,1018.021
-0.993043,33,-5.0,65.0,34.0,300.0,18.52,40.744,0.0,0.0,0.0,,,,,,,,
-0.993043,34,-5.0,65.0,32.0,300.0,20.372,40.744,0.0,0.0,0.0,,,,,,,,
-0.993043,35,-5.556,65.0,31.0,300.0,20.372,37.04,0.0,0.0,0.0,,,,,,,,
-0.993043,36,-5.556,62.0,29.0,300.0,18.52,31.484,0.0,0.0,0.0,,,,,,,,
-0.993043,37,-6.111,65.0,27.0,300.0,18.52,31.484,0.0,0.0,0.0,,,,,,,,
-0.993043,38,-6.111,65.0,25.0,300.0,18.52,31.484,0.0,0.0,0.0,,,,,,,,
-0.993043,39,-5.556,65.0,27.0,300.0,20.372,35.188,0.0,0.0,0.0,,,,,,,,
-0.993043,40,-4.444,60.0,30.0,300.0,20.372,38.892,0.0,0.0,0.0,,,,,,,,
-0.993043,41,-3.889,60.0,32.0,300.0,22.224,42.596,0.0,0.0,0.0,,,,,,,,
-0.993043,42,-2.778,55.0,34.0,300.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.993043,43,-2.222,50.0,37.0,300.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.993043,44,-2.222,50.0,39.0,300.0,25.928,44.448,0.0,0.0,0.0,,,,,,,,
-0.993043,45,-1.667,48.0,39.0,300.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.993043,46,-1.111,46.0,38.0,300.0,24.076,42.596,0.0,0.0,0.0,,,,,,,,
-0.993043,47,-1.667,48.0,38.0,300.0,22.224,38.892,0.0,0.0,0.0,,,,,,,,
-0.992874,0,-2.222,77.0,94.0,10.0,12.964,27.78,50.0,0.042,0.847,-2.113,83.61,0.298,0.733,23.0,0.0,0.0,1004.777
-0.992874,1,-3.333,77.0,96.0,0.0,14.816,29.632,44.0,0.042,0.847,-2.259,87.305,0.627,1.167,3.0,0.0,0.0,1004.534
-0.992874,2,-3.889,76.0,96.0,350.0,16.668,33.336,37.0,0.042,0.847,-2.198,87.034,2.127,3.475,313.0,0.0,0.0,1004.636
-0.992874,3,-4.444,75.0,97.0,340.0,20.372,35.188,31.0,0.042,0.847,-2.137,78.271,3.305,4.956,302.0,0.0,0.0,1005.487
-0.992874,4,-5.556,70.0,89.0,330.0,20.372,37.04,21.0,0.042,0.847,-3.395,69.542,5.253,8.318,305.0,0.0,0.0,1006.506
-0.992874,5,-6.111,71.0,72.0,340.0,22.224,38.892,10.0,0.042,0.847,-4.576,66.898,5.589,8.842,283.0,0.0,0.0,1007.973
-0.992874,6,-6.667,71.0,55.0,340.0,22.224,40.744,0.0,0.0,0.0,-5.482,64.203,5.455,8.489,300.0,0.0,0.0,1008.628
-0.992874,7,-7.222,70.0,31.0,330.0,22.224,40.744,0.0,0.0,0.0,-6.951,65.814,6.273,9.671,290.0,0.0,0.0,1009.095
-0.992874,8,-7.778,70.0,30.0,330.0,22.224,38.892,0.0,0.0,0.0,-7.596,66.356,4.545,7.11,292.0,0.0,0.0,1009.933
-0.992874,9,-7.222,68.0,37.0,320.0,22.224,38.892,0.0,0.0,0.0,-7.364,65.542,4.441,6.926,306.0,0.0,0.0,1010.661
-0.992874,10,-7.222,66.0,32.0,320.0,22.224,38.892,0.0,0.0,0.0,-6.734,64.441,4.436,6.573,285.0,0.0,0.0,1010.755
-0.992874,11,-6.667,64.0,28.0,310.0,22.224,38.892,0.0,0.0,0.0,-6.406,64.424,4.68,7.067,292.0,0.0,0.0,1011.232
-0.992874,12,-6.667,64.0,25.0,310.0,22.224,38.892,0.0,0.0,0.0,-6.455,63.203,5.187,8.092,268.0,0.0,0.0,1011.735
-0.992874,13,-6.111,62.0,20.0,310.0,22.224,38.892,0.0,0.0,0.0,-6.41,62.153,5.899,8.885,272.0,0.0,0.0,1012.421
-0.992874,14,-5.556,62.0,15.0,310.0,24.076,42.596,0.0,0.0,0.0,-6.071,61.932,5.266,7.64,265.0,0.0,0.0,1013.005
-0.992874,15,-4.444,60.0,18.0,310.0,24.076,44.448,0.0,0.0,0.0,-5.03,59.136,6.23,9.677,268.0,0.0,0.0,1013.335
-0.992874,16,-3.333,57.0,18.0,310.0,25.928,46.3,0.0,0.0,0.0,-3.552,54.864,7.608,11.494,268.0,1.424,0.0,1013.828
-0.992874,17,-2.222,53.0,19.0,310.0,27.78,48.152,0.0,0.0,0.0,-2.494,52.712,8.03,12.661,269.0,1.136,0.0,1013.757
-0.992874,18,-1.667,51.0,22.0,310.0,27.78,48.152,0.0,0.0,0.0,-1.294,50.22,7.731,11.948,278.0,1.576,0.0,1013.402
-0.992874,19,-1.111,49.0,20.0,310.0,27.78,48.152,0.0,0.0,0.0,-0.406,47.864,9.616,13.79,266.0,1.169,0.0,1013.079
-0.992874,20,-1.111,49.0,16.0,300.0,25.928,46.3,0.0,0.0,0.0,0.183,47.017,8.176,12.202,271.0,0.492,0.0,1012.915
-0.992874,21,-1.111,51.0,16.0,300.0,24.076,42.596,0.0,0.0,0.0,0.262,46.831,8.622,12.44,272.0,0.0,0.0,1013.624
-0.992874,22,-1.667,51.0,12.0,300.0,22.224,40.744,0.0,0.0,0.0,0.268,46.678,8.341,12.202,258.0,0.0,0.0,1014.739
-0.992874,23,-2.222,53.0,9.0,300.0,20.372,37.04,0.0,0.0,0.0,-0.442,48.644,8.975,13.599,265.0,0.0,0.0,1015.544
-0.992874,24,-3.333,62.0,14.0,300.0,18.52,35.188,0.0,0.0,0.0,-1.081,51.475,6.81,10.207,268.0,0.0,0.0,1016.333
-0.992874,25,-3.889,62.0,18.0,300.0,20.372,35.188,0.0,0.0,0.0,-1.677,52.305,5.216,8.275,283.0,0.0,0.0,1017.063
-0.992874,26,-3.889,62.0,22.0,300.0,20.372,35.188,0.0,0.0,0.0,-2.379,54.407,3.966,5.725,290.0,0.0,0.0,1017.688
-0.992874,27,-4.444,65.0,25.0,300.0,20.372,35.188,0.0,0.0,0.0,-2.927,54.695,3.74,5.958,297.0,0.0,0.0,1017.877
-0.992874,28,-4.444,62.0,29.0,300.0,20.372,38.892,0.0,0.0,0.0,-2.979,52.661,5.614,8.537,279.0,0.0,0.0,1018.022
-0.992874,29,-4.444,65.0,33.0,300.0,20.372,40.744,0.0,0.0,0.0,-3.283,53.678,3.502,5.268,301.0,0.0,0.0,1018.089
-0.992874,30,-5.0,68.0,36.0,300.0,20.372,42.596,0.0,0.0,0.0,-3.5,54.559,3.653,5.254,290.0,0.0,0.0,1018.021
-0.992874,31,-5.0,65.0,34.0,300.0,18.52,40.744,0.0,0.0,0.0,,,,,,,,
-0.992874,32,-5.0,65.0,32.0,300.0,20.372,40.744,0.0,0.0,0.0,,,,,,,,
-0.992874,33,-5.556,65.0,31.0,300.0,20.372,37.04,0.0,0.0,0.0,,,,,,,,
-0.992874,34,-5.556,62.0,29.0,300.0,18.52,31.484,0.0,0.0,0.0,,,,,,,,
-0.992874,35,-6.111,65.0,27.0,300.0,18.52,31.484,0.0,0.0,0.0,,,,,,,,
-0.992874,36,-6.111,65.0,25.0,300.0,18.52,31.484,0.0,0.0,0.0,,,,,,,,
-0.992874,37,-5.556,65.0,27.0,300.0,20.372,35.188,0.0,0.0,0.0,,,,,,,,
-0.992874,38,-4.444,60.0,30.0,300.0,20.372,38.892,0.0,0.0,0.0,,,,,,,,
-0.992874,39,-3.889,60.0,32.0,300.0,22.224,42.596,0.0,0.0,0.0,,,,,,,,
-0.992874,40,-2.778,55.0,34.0,300.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.992874,41,-2.222,50.0,37.0,300.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.992874,42,-2.222,50.0,39.0,300.0,25.928,44.448,0.0,0.0,0.0,,,,,,,,
-0.992874,43,-1.667,48.0,39.0,300.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.992874,44,-1.111,46.0,38.0,300.0,24.076,42.596,0.0,0.0,0.0,,,,,,,,
-0.992874,45,-1.667,48.0,38.0,300.0,22.224,38.892,0.0,0.0,0.0,,,,,,,,
-0.992874,46,-2.222,48.0,37.0,300.0,20.372,37.04,0.0,0.0,0.0,,,,,,,,
-0.992874,47,-2.778,48.0,37.0,290.0,18.52,33.336,0.0,0.0,0.0,,,,,,,,
